Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Ungrouped	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
41588212	809413414540		NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16		WebStimulusStart	Web Page																																										EyesNotFound	33	36															
41594940	809413421268	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813317636																	3.135	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	33	36															
41597371	809413423699		NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16																																					Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	33	36						0.00	44.00	0.00	0.00	1920.00	1036.00	1920.00	4846.00		
41611548	809413437876	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813334244																	3.483	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	33	36															
41628174	809413454502	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813350870			1947	646			1947	646				0.32473	-0.19882	-0.92467		3.830	3.830	Invalid	Valid				420.6	389.3	808.9			704.7	215.4							Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	Unclassified	17	26															
41644759	809413471087	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813367455																	3.883	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	33	37															
41661560	809413487888	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813384256																	3.883	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	33	37															
41678043	809413504371	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813400739			2220	674			2220	674				0.40973	-0.17668	-0.89493		3.989	3.883	Invalid	Valid				422.1	389.1	833.2			803.6	224.7							Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	Unclassified	17	27															
41694674	809413521002	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813417370																	3.714	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	67	38															
41711631	809413537959	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813434327																	3.435	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	67	38															
41728009	809413554337	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813450705																	3.164	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	67	38															
41744686	809413571014	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813467382																	3.164	Invalid	Invalid																	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	EyesNotFound	67	38															
41761464	809413587792	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813484160			1535	559			1535	559				0.15679	-0.23270	-0.95983		2.613	3.164	Invalid	Valid				419.3	388.5	833.4			555.5	186.4	0.7992	0.5178			0.7992	0.5178	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	Saccade	67	57															
41777975	809413604303	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813500671			1413	406	1507	447	1318	366	0.21852	-0.25666	-0.94148	0.06742	-0.30645	-0.94950	2.658	3.740	3.180	Valid	Valid	354.8	373.0	822.2	418.6	388.6	826.0	545.6	148.9	477.2	122.0	0.7359	0.3763	0.7850	0.4135	0.6867	0.3390	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	Saccade	67	57															
41794601	809413620929	Eye Tracker	NinaWebTest	6/28/2024	Participant4	Recording2	6/28/2024	6/28/2024	12:36:26.493	16:36:26.493	75460	Timeline1	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	9.4			0.62			26			10.4	6.0	5.8	0.75	0.44	0.42	29	17	16	329813517297			1313	325	1386	373	1240	278	0.16971	-0.28726	-0.94270	0.03631	-0.34131	-0.93925	3.087	3.827	3.394	Valid	Valid	354.8	373.2	817.0	417.5	388.6	814.4	501.8	124.2	449.0	92.6	0.6840	0.3012	0.7221	0.3451	0.6460	0.2573	Web Page	Web Page Recording2.mp4	1920	1080	0	0	1920	1080	Saccade	67	57															
