row,col,tl-x,tl-y,br-x,br-y
1,a,360,8,752,400
2,a,360,411,752,804
3,a,360,815,752,1207
4,a,360,1221,752,1610
5,a,360,1621,752,2014
6,a,360,2025,752,2417
7,a,360,2428,752,2820
8,a,360,2831,752,3224
9,a,360,3239,752,3627
10,a,360,3638,752,4030
11,a,360,4041,752,4434
12,a,360,4445,752,4837
1,b,763,8,1156,400
2,b,763,411,1156,804
3,b,763,815,1156,1207
4,b,763,1221,1156,1610
5,b,763,1621,1156,2014
6,b,763,2025,1156,2417
7,b,763,2428,1156,2820
8,b,763,2831,1156,3224
9,b,763,3239,1156,3627
10,b,763,3638,1156,4030
11,b,763,4041,1156,4434
12,b,763,4445,1156,4837
1,c,1167,8,1559,400
2,c,1167,411,1559,804
3,c,1167,815,1559,1207
4,c,1167,1221,1559,1610
5,c,1167,1621,1559,2014
6,c,1167,2025,1559,2417
7,c,1167,2428,1559,2820
8,c,1167,2831,1559,3224
9,c,1167,3239,1559,3627
10,c,1167,3638,1559,4030
11,c,1167,4041,1559,4434
12,c,1167,4445,1559,4837
