row,col,tl-x,tl-y,br-x,br-y
1,1,360,8,752,400
2,1,360,411,752,804
3,1,360,815,752,1207
4,1,360,1221,752,1610
5,1,360,1621,752,2014
6,1,360,2025,752,2417
7,1,360,2428,752,2820
8,1,360,2831,752,3224
9,1,360,3239,752,3627
10,1,360,3638,752,4030
11,1,360,4041,752,4434
12,1,360,4445,752,4837
1,2,763,8,1156,400
2,2,763,411,1156,804
3,2,763,815,1156,1207
4,2,763,1221,1156,1610
5,2,763,1621,1156,2014
6,2,763,2025,1156,2417
7,2,763,2428,1156,2820
8,2,763,2831,1156,3224
9,2,763,3239,1156,3627
10,2,763,3638,1156,4030
11,2,763,4041,1156,4434
12,2,763,4445,1156,4837
1,3,1167,8,1559,400
2,3,1167,411,1559,804
3,3,1167,815,1559,1207
4,3,1167,1221,1559,1610
5,3,1167,1621,1559,2014
6,3,1167,2025,1559,2417
7,3,1167,2428,1559,2820
8,3,1167,2831,1559,3224
9,3,1167,3239,1559,3627
10,3,1167,3638,1559,4030
11,3,1167,4041,1559,4434
12,3,1167,4445,1559,4837
