Participant,Condition,NFC,Raw
P1,A,19,51
P1,B1,19,65
P1,C,19,56
P2,A,17,56
P2,C,17,39
P2,B2,17,41
P3,C,13,64
P3,A,13,57
P3,B3,13,51
P4,C,18,54
P4,B1,18,71
P4,A,18,91
P5,B2,20,64
P5,C,20,59
P5,A,20,54
P6,B3,23,72
P6,A,23,55
P6,C,23,57
P7,A,19,63
P7,B2,19,49
P7,C,19,47
P8,A,20,39
P8,C,20,26
P8,B3,20,36
P9,C,19,40
P9,A,19,39
P9,B1,19,35
P10,C,19,44
P10,B2,19,42
P10,A,19,26
P11,B3,18,36
P11,C,18,32
P11,A,18,37
P12,B1,23,70
P12,A,23,55
P12,C,23,68
P13,A,18,81
P13,B3,18,35
P13,C,18,32
P14,A,23,73
P14,C,23,72
P14,B1,23,81
P15,C,17,16
P15,A,17,21
P15,B2,17,19
P16,C,22,59
P16,B3,22,61
P16,A,22,39
P17,B1,17,70
P17,C,17,70
P17,A,17,61
P18,B2,24,65
P18,A,24,56
P18,C,24,60
P19,A,11,47
P19,B1,11,32
P19,C,11,28
P20,A,18,39
P20,C,18,75
P20,B2,18,53
P21,C,14,61
P21,A,14,88
P21,B3,14,66
P22,C,17,68
P22,B1,17,61
P22,A,17,47
P23,B2,22,66
P23,C,22,62
P23,A,22,45
P24,B3,1,62
P24,A,1,72
P24,C,1,33
