Recording	Participant	Timeline	TOI	Interval	Media	Group1	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	1	10	60	50							106.71	156.98						0.43274	0.30229
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	1	60	276	216		0	0.43274	0.30229	3.53029										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	2	276	326	50						136.51	68.29	112.51	3.45		b	0.43274	0.30229	0.36602	0.23899
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	2	326	1241	915	b	1	0.36602	0.23899	3.47414										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	3	1241	1307	67						0.59	110.79	212.58	7.32	b	c	0.36602	0.23899	0.51884	0.23741
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	3	1307	1374	66	c	1	0.51884	0.23741	3.52592										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	4	1374	1391	17							42.29	42.29		c		0.51884	0.23741		
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Partial	4	1407	1491	83	c	1	0.52248	0.22201	3.49448										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	5	1507	1540	33							60.59	60.59							
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Partial	5	1557	1807	250	d	1	0.61806	0.24623	3.37602										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	6	1807	1857	50						199.69	141.49	209.48	6.5	d	c	0.61806	0.24623	0.48769	0.29289
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	6	1857	2156	300	c	1	0.48769	0.29289	3.26686										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	7	2156	2189	33							116.03	190.28		c		0.48769	0.29289		
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Partial	7	2206	3288	1082	d	1	0.62283	0.29454	3.31972										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	8	3288	3304	17							44.82	44.82		d		0.62283	0.29454		
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	9	3321	3387	67							124.33	196.28			e			0.79408	0.2737
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Partial	8	3387	3570	183	e	1	0.79408	0.2737	3.20931										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	10	3620	3654	33							247.2	247.2			e			0.76143	0.34331
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	9	3654	3787	133	e	1	0.76143	0.34331	3.28444										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	11	3787	3803	17						219.23	36.7	36.7	0.55	e	e	0.76143	0.34331	0.75261	0.35052
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	10	3803	3887	83	e	1	0.75261	0.35052	3.35135										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	12	3887	3953	67						286.51	46.58	49.12	2.73	e	j	0.75261	0.35052	0.77977	0.44215
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	11	3953	4186	233	j	1	0.77977	0.44215	3.3836										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	13	4186	4236	50						179.45	210.54	255.24	10.59	j		0.77977	0.44215	0.55945	0.44004
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	12	4236	4436	200		0	0.55945	0.44004	3.319										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	14	4436	4469	33						207	89.59	91.47	3.74		h	0.55945	0.44004	0.48582	0.47755
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	13	4469	4918	449	h	1	0.48582	0.47755	3.16121										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	15	4918	4985	67						8.03	78.23	153.44	5.41	h	i	0.48582	0.47755	0.59329	0.46238
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	14	4985	5734	749	i	1	0.59329	0.46238	3.11289										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	16	5734	5784	50						278.3	116.05	143.21	6	i	n	0.59329	0.46238	0.62611	0.68743
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	15	5784	7264	1481	n	1	0.62611	0.68743	2.99696										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	17	7264	7281	17						272.05	44.59	44.59	0.54	n	n	0.62611	0.68743	0.62687	0.70874
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	16	7281	7464	183	n	1	0.62687	0.70874	3.01717										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	18	7464	7514	50						187.16	125.42	197.2	6.9	n	m	0.62687	0.70874	0.49506	0.72528
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	17	7514	7780	266	m	1	0.49506	0.72528	3.03475										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	19	7780	7830	50						186.91	125.69	183.46	6.34	m	l	0.49506	0.72528	0.37389	0.73997
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	18	7830	8612	782	l	1	0.37389	0.73997	2.95639										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	20	8612	8662	50						171.61	102.37	138.43	5.92	l	k	0.37389	0.73997	0.25458	0.72238
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	19	8662	8795	133	k	1	0.25458	0.72238	2.91221										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	21	8795	8845	50						77.41	99.39	173.73	4.8	k		0.25458	0.72238	0.29167	0.5563
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	20	8845	9161	316		0	0.29167	0.5563	2.88702										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	22	9161	9178	17							289.19	289.19				0.29167	0.5563		
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	23	9311	9345	33							81.54	81.54			f			0.25724	0.44219
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	21	9345	9578	233	f	1	0.25724	0.44219	2.9821										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	24	9578	9628	50							186.7	323.37		f		0.25724	0.44219		
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	25	9727	9794	66							179.66	262.04			g			0.37357	0.44623
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	22	9794	9977	183	g	1	0.37357	0.44623	3.04026										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	26	9977	9994	17						274.6	31.66	31.66	0.79	g	g	0.37357	0.44623	0.37637	0.48103
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	23	9994	10476	483	g	1	0.37637	0.48103	3.02636										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	27	10476	10493	17							31.32	31.32		g		0.37637	0.48103		
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	28	10509	10526	17							71.46	71.46			g			0.37507	0.49024
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	24	10526	11075	549	g	1	0.37507	0.49024	2.94677										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	29	11075	11125	50						12	139.55	171.12	6.95	g	h	0.37507	0.49024	0.51294	0.46094
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	25	11125	11358	233	h	1	0.51294	0.46094	2.95732										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	30	11358	11375	17						203.33	48.61	48.61	0.71	h	h	0.51294	0.46094	0.50134	0.46594
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	26	11375	11874	499	h	1	0.50134	0.46594	2.99297										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	31	11874	11907	33						329.83	163.03	213.22	6.51	h	i	0.50134	0.46594	0.62569	0.53821
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	27	11907	12306	399	i	1	0.62569	0.53821	3.05415										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	32	12306	12356	50						23.36	154.02	221.19	7.57	i	j	0.62569	0.53821	0.7839	0.46988
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	28	12356	12606	250	j	1	0.7839	0.46988	3.15249										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Whole	33	12606	12623	17						155.47	49.66	49.66	1	j	j	0.7839	0.46988	0.767	0.46216
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Fixation	Whole	29	12623	13305	682	j	1	0.767	0.46216	3.16616										
Recording1	Participant1	Timeline1	condition-1	1	condition-1		Saccade	Partial	34	13305	13372	67							247.48	380.78		j		0.767	0.46216		
Recording1	Participant1	Timeline1	Entire Recording	1			Fixation	Partial	1	72	255	183		0	1.13043	0.62114	2.56208										
Recording1	Participant1	Timeline1	Entire Recording	1			Saccade	Whole	1	255	322	67						171.85	290.85	331.64	20.36			1.13043	0.62114	0.72181	0.56262
Recording1	Participant1	Timeline1	Entire Recording	1			Fixation	Whole	2	322	588	266		0	0.72181	0.56262	2.61946										
Recording1	Participant1	Timeline1	Entire Recording	1			Saccade	Partial	2	588	604	17							98.76	98.76				0.72181	0.56262		
Recording1	Participant1	Timeline1	Entire Recording	1			Saccade	Partial	3	738	804	67							88.36	133.78						0.13697	1.19358
Recording1	Participant1	Timeline1	Entire Recording	1			Fixation	Whole	3	804	1021	216		0	0.13697	1.19358	2.92929										
Recording1	Participant1	Timeline1	Entire Recording	1			Saccade	Whole	4	1021	1071	50						54.76	123.65	168.52	5.93			0.13697	1.19358	0.22939	1.06277
Recording1	Participant1	Timeline1	Entire Recording	1			Fixation	Whole	4	1071	1187	116		0	0.22939	1.06277	3.00098										
Recording1	Participant1	Timeline1	Entire Recording	1			Saccade	Whole	5	1187	1253	66						69.92	259.48	458.87	17.44			0.22939	1.06277	0.4234	0.53199
Recording1	Participant1	Timeline1	Entire Recording	1			Fixation	Whole	5	1253	1436	183		0	0.4234	0.53199	2.76412										
Recording1	Participant1	Timeline1	Entire Recording	1			Saccade	Whole	6	1436	1470	33						44.31	134.26	163.42	4.66			0.4234	0.53199	0.50521	0.45213
Recording1	Participant1	Timeline1	Entire Recording	1			Fixation	Whole	6	1470	1736	266		0	0.50521	0.45213	2.58355										
