Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
65191839,742892653725,,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,,WebStimulusStart,Web Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,50,81,,,,,,,,,,,,,,,
65207095,742892668981,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292705257,,,873,580,900,616,846,544,0.04879,-0.25837,-0.96481,-0.05762,-0.2716,-0.96068,3.315,3.655,3.485,Valid,Valid,294,374.3,630.9,345.4,366.6,655.4,325.9,205.3,306.1,181.3,0.4547,0.537,0.4689,0.5704,0.4404,0.5036,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Saccade,50,81,,,,,,,,,,,,,,,
65223755,742892685641,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292721916,,,895,452,911,480,880,425,0.05715,-0.28181,-0.95777,-0.03599,-0.29388,-0.95517,3.818,3.953,3.886,Valid,Valid,286.7,372.5,722.4,345.7,364.6,724.7,329.8,159.9,318.4,141.7,0.4663,0.4189,0.4745,0.4442,0.4582,0.3935,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Saccade,50,81,,,,,,,,,,,,,,,
65240376,742892702262,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292738537,,,893,448,907,473,878,422,0.05487,-0.28272,-0.95763,-0.03702,-0.29322,-0.95533,3.83,3.971,3.9,Valid,Valid,286.8,372.3,726.5,346.2,364.6,729.1,328.4,157.8,318,140.8,0.465,0.4147,0.4725,0.4383,0.4575,0.391,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
65256915,742892718801,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292755076,,,893,447,901,472,886,422,0.05115,-0.28254,-0.95789,-0.03414,-0.29294,-0.95552,3.84,3.984,3.904,Valid,Valid,287.3,372,727.7,346.8,364.6,730.3,326.1,157.4,320.7,140.7,0.4654,0.4139,0.4692,0.4372,0.4615,0.3907,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
65273689,742892735575,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292771850,,,893,456,908,475,878,438,0.05379,-0.28069,-0.95829,-0.03898,-0.28598,-0.95744,3.837,3.98,3.904,Valid,Valid,287.7,371.7,728.9,347.5,364.5,731.5,328.7,158.3,317.7,146,0.465,0.4226,0.4729,0.4396,0.4572,0.4056,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
65290246,742892752132,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292788407,,,892,459,907,481,876,438,0.05301,-0.27822,-0.95906,-0.04053,-0.28647,-0.95723,3.839,3.961,3.901,Valid,Valid,288.2,371.6,728.2,348,364.6,730.7,328.5,160.4,317.1,145.9,0.4644,0.4254,0.4726,0.4455,0.4562,0.4053,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
65306733,742892768619,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292804894,,,900,460,910,474,889,446,0.05341,-0.28136,-0.95811,-0.03499,-0.28373,-0.95827,3.813,3.965,3.887,Valid,Valid,288.9,371.6,727.2,348.6,364.8,729.8,329.4,158,321.9,148.7,0.4686,0.4259,0.474,0.4388,0.4632,0.413,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
65323618,742892785504,Eye Tracker,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,263292821779,,,905,460,909,468,900,451,0.05208,-0.28347,-0.95757,-0.0308,-0.28212,-0.95888,3.805,3.959,3.883,Valid,Valid,289.5,371.5,727.5,349.2,365,730,329,156.1,325.8,150.2,0.4711,0.4255,0.4734,0.4337,0.4688,0.4172,Web Page,Web Page Recording1.mp4,1920,1080,0,0,1920,1080,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
65330757,742892792643,,NinaWebTest,6/27/2024,Participant3,Recording1,6/27/2024,6/27/2024,18:07:22,22:07:22,88300,Timeline1,Tobii I-VT (Fixation),1.232.52758,1080,1920,10,25.4,,,1.85,,,70,,,24,2.5,2.3,1.75,0.19,0.17,66,7,6,,URLStart,Image Grid for Eye-Tracking Experiment (nlei1.github.io),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,133,55,898,458,0.4678,0.4237,,,,,,,,,,,
