"Timestamp","Data","Gaze.X","Gaze.Y","Fixation.X","Fixation.Y","ScrollDelta_Increments","Timestamp.Shifted","Corrected.Gaze.X","Corrected.Gaze.Y","Corrected.Fixation.X","Corrected.Fixation.Y","Scroll"
41794601,NA,1313,325,NA,NA,NA,41794601,1313,281,NA,NA,0
41811384,NA,1233,298,NA,NA,NA,41811384,1233,254,NA,NA,0
41827846,NA,1224,315,1197,388,NA,41827846,1224,271,1197,344,0
41844421,NA,1217,338,1197,388,NA,41844421,1217,294,1197,344,0
41861319,NA,1208,365,1197,388,NA,41861319,1208,321,1197,344,0
41877715,NA,1208,368,1197,388,NA,41877715,1208,324,1197,344,0
41894240,NA,1209,361,1197,388,NA,41894240,1209,317,1197,344,0
41911243,NA,1198,384,1197,388,NA,41911243,1198,340,1197,344,0
41927584,NA,1201,394,1197,388,NA,41927584,1201,350,1197,344,0
41944059,NA,1205,392,1197,388,NA,41944059,1205,348,1197,344,0
41961159,NA,1191,407,1197,388,NA,41961159,1191,363,1197,344,0
41977454,NA,1185,413,1197,388,NA,41977454,1185,369,1197,344,0
41993974,NA,1188,413,1197,388,NA,41993974,1188,369,1197,344,0
42011070,NA,1182,418,1197,388,NA,42011070,1182,374,1197,344,0
42027323,NA,1180,417,1197,388,NA,42027323,1180,373,1197,344,0
42043890,NA,1186,423,1197,388,NA,42043890,1186,379,1197,344,0
42060980,NA,1180,414,1197,388,NA,42060980,1180,370,1197,344,0
42077193,NA,1146,364,NA,NA,NA,42077193,1146,320,NA,NA,0
42093805,NA,1048,194,NA,NA,NA,42093805,1048,150,NA,NA,0
42110887,NA,941,136,NA,NA,NA,42110887,941,92,NA,NA,0
42127062,NA,903,27,NA,NA,NA,42127062,903,NA,NA,NA,0
42143721,NA,894,22,886,38,NA,42143721,894,NA,886,NA,0
42160789,NA,887,35,886,38,NA,42160789,887,NA,886,NA,0
42177029,NA,884,34,886,38,NA,42177029,884,NA,886,NA,0
42193637,NA,889,44,886,38,NA,42193637,889,0,886,NA,0
42210691,NA,883,-21,886,38,NA,42210691,883,NA,886,NA,0
42226898,NA,875,52,886,38,NA,42226898,875,8,886,NA,0
42243552,NA,885,102,NA,NA,NA,42243552,885,58,NA,NA,0
42260592,NA,879,106,881,94,NA,42260592,879,62,881,50,0
42276768,NA,879,111,881,94,NA,42276768,879,67,881,50,0
42293468,NA,876,83,881,94,NA,42293468,876,39,881,50,0
42310489,NA,879,15,881,94,NA,42310489,879,NA,881,50,0
42326734,NA,891,90,881,94,NA,42326734,891,46,881,50,0
42343480,NA,1034,137,NA,NA,NA,42343480,1034,93,NA,NA,0
42360391,NA,1239,234,NA,NA,NA,42360391,1239,190,NA,NA,0
42376603,NA,1363,296,NA,NA,NA,42376603,1363,252,NA,NA,0
42393298,NA,1501,394,NA,NA,NA,42393298,1501,350,NA,NA,0
42393413,NA,NA,NA,NA,NA,NA,42393413,NA,NA,NA,NA,0
42409450,NA,NA,NA,NA,NA,NA,42409450,NA,NA,NA,NA,0
42410426,NA,1598,439,NA,NA,NA,42410426,1598,395,NA,NA,0
42423401,NA,NA,NA,1603,450,NA,42423401,NA,NA,1603,406,0
42426569,NA,1606,444,1603,450,NA,42426569,1606,400,1603,406,0
42439381,NA,NA,NA,1603,450,NA,42439381,NA,NA,1603,406,0
42443214,NA,1609,440,1603,450,NA,42443214,1609,396,1603,406,0
42455377,NA,NA,NA,1603,450,NA,42455377,NA,NA,1603,406,0
42460434,NA,1601,446,1603,450,NA,42460434,1601,402,1603,406,0
42471376,NA,NA,NA,1603,450,NA,42471376,NA,NA,1603,406,0
42476440,NA,1603,445,1603,450,NA,42476440,1603,401,1603,406,0
42487375,NA,NA,NA,1603,450,NA,42487375,NA,NA,1603,406,0
42493130,NA,1605,442,1603,450,NA,42493130,1605,398,1603,406,0
42503376,NA,NA,NA,1603,450,NA,42503376,NA,NA,1603,406,0
42510345,NA,1606,443,1603,450,NA,42510345,1606,399,1603,406,0
42519379,NA,NA,NA,1603,450,NA,42519379,NA,NA,1603,406,0
42526397,NA,1605,431,1603,450,NA,42526397,1605,387,1603,406,0
42533370,NA,NA,NA,1603,450,NA,42533370,NA,NA,1603,406,0
42543133,NA,1605,441,1603,450,NA,42543133,1605,397,1603,406,0
42549376,NA,NA,NA,1603,450,NA,42549376,NA,NA,1603,406,0
42560265,NA,1610,446,1603,450,NA,42560265,1610,402,1603,406,0
42565389,NA,NA,NA,1603,450,NA,42565389,NA,NA,1603,406,0
42576363,NA,1611,440,1603,450,NA,42576363,1611,396,1603,406,0
42581371,NA,NA,NA,1603,450,NA,42581371,NA,NA,1603,406,0
42592951,NA,1604,439,1603,450,NA,42592951,1604,395,1603,406,0
42597382,NA,NA,NA,1603,450,NA,42597382,NA,NA,1603,406,0
42610185,NA,1603,446,1603,450,NA,42610185,1603,402,1603,406,0
42613401,NA,NA,NA,1603,450,NA,42613401,NA,NA,1603,406,0
42626231,NA,1603,451,1603,450,NA,42626231,1603,407,1603,406,0
42627380,NA,NA,NA,1603,450,NA,42627380,NA,NA,1603,406,0
42642867,NA,1607,441,1603,450,NA,42642867,1607,397,1603,406,0
42643412,NA,NA,NA,1603,450,NA,42643412,NA,NA,1603,406,0
42659380,NA,NA,NA,1603,450,NA,42659380,NA,NA,1603,406,0
42660105,NA,1613,440,1603,450,NA,42660105,1613,396,1603,406,0
42676197,NA,1612,439,1603,450,NA,42676197,1612,395,1603,406,0
42677380,NA,NA,NA,1603,450,NA,42677380,NA,NA,1603,406,0
42691376,NA,NA,NA,1603,450,NA,42691376,NA,NA,1603,406,0
42692783,NA,1610,448,1603,450,NA,42692783,1610,404,1603,406,0
42707385,NA,NA,NA,1603,450,NA,42707385,NA,NA,1603,406,0
42710025,NA,1608,455,1603,450,NA,42710025,1608,411,1603,406,0
42723425,NA,NA,NA,1603,450,NA,42723425,NA,NA,1603,406,0
42726067,NA,1610,448,1603,450,NA,42726067,1610,404,1603,406,0
42737422,NA,NA,NA,1603,450,NA,42737422,NA,NA,1603,406,0
