Recording	Participant	Timeline	TOI	Interval	Media	Group1	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Fixation	Partial	1	0	418	418		0	0.42507	0.40135	3.74969										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Partial	1	418	435	17							36.39	36.39				0.42507	0.40135		
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Partial	2	468	484	17							50.16	50.16						0.42769	0.37552
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Fixation	Whole	2	484	568	83		0	0.42769	0.37552	3.7782										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Partial	3	568	584	17							44.5	44.5				0.42769	0.37552		
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Partial	4	601	651	50							115.14	130.65						0.29717	0.22366
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Fixation	Whole	3	651	950	300		0	0.29717	0.22366	3.91505										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	5	950	967	17						110.9	38.75	38.75	0.93			0.29717	0.22366	0.28957	0.20376
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Fixation	Whole	4	967	1117	150		0	0.28957	0.20376	3.92826										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	6	1117	1150	33						31.42	92.49	124.84	3.19			0.28957	0.20376	0.3521	0.16556
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Fixation	Whole	5	1150	1499	349		0	0.3521	0.16556	3.86062										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	7	1499	1532	33						339.51	48	61.7	1.94		a	0.3521	0.16556	0.38729	0.17871
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag1	Fixation	Whole	6	1532	1649	117	a	1	0.38729	0.17871	3.78409										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	8	1649	1699	50						342.66	131.83	180.62	6.32	a	m	0.38729	0.17871	0.50719	0.21615
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag4	Fixation	Whole	7	1699	1949	250	m	1	0.50719	0.21615	3.7072										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	9	1949	1999	50						296.75	180.67	223.76	9.17	m	i	0.50719	0.21615	0.62915	0.45806
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag3	Fixation	Whole	8	1999	2215	216	i	1	0.62915	0.45806	3.70685										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	10	2215	2265	50						350.55	161.61	298.27	8.04	i	k	0.62915	0.45806	0.77779	0.4828
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag1	Fixation	Whole	9	2265	2698	433	k	1	0.77779	0.4828	3.54614										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	11	2698	2747	50						263.58	136.73	182.32	6.67	k	h	0.77779	0.4828	0.75115	0.71961
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag3	Fixation	Whole	10	2747	3529	782	h	1	0.75115	0.71961	3.34812										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	12	3529	3579	50						184.77	121.19	181.16	6.11	h	n	0.75115	0.71961	0.63955	0.72892
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag4	Fixation	Partial	11	3579	3679	100	n	1	0.63955	0.72892	3.23386										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Partial	13	3879	3929	50							69.71	83.7			c			0.49435	0.70354
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag2	Fixation	Whole	12	3929	4029	100	c	1	0.49435	0.70354	3.28813										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	14	4029	4079	50						169.99	195.49	334.06	9.52	c	l	0.49435	0.70354	0.32569	0.67378
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag4	Fixation	Whole	13	4079	4295	216	l	1	0.32569	0.67378	3.34308										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	15	4295	4362	67						104.18	116.37	203.67	7.33	l	f	0.32569	0.67378	0.26382	0.4289
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag1	Fixation	Whole	14	4362	4511	150	f	1	0.26382	0.4289	3.30271										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	16	4511	4561	50						89.1	100.05	129.15	4.49	f	b	0.26382	0.4289	0.26652	0.2567
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag2	Fixation	Whole	15	4561	4744	183	b	1	0.26652	0.2567	3.39465										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	17	4744	4794	50						8.29	122.44	182.66	5.8	b	a	0.26652	0.2567	0.37878	0.24035
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag1	Fixation	Whole	16	4794	5127	333	a	1	0.37878	0.24035	3.49087										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	18	5127	5160	34						324.21	93.98	105.6	3.38	a		0.37878	0.24035	0.44009	0.28456
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Fixation	Whole	17	5160	5376	216		0	0.44009	0.28456	3.55424										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	19	5376	5443	67						288.9	110.71	215.65	6.37		o	0.44009	0.28456	0.50662	0.47889
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag5	Fixation	Whole	18	5443	5743	300	o	1	0.50662	0.47889	3.55637										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	20	5743	5793	50						272	117.24	157.14	5.8	o	c	0.50662	0.47889	0.51364	0.68018
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag2	Fixation	Whole	19	5793	6009	216	c	1	0.51364	0.68018	3.47637										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	21	6009	6059	50						53.71	170.24	270.64	8.55	c	i	0.51364	0.68018	0.63744	0.51157
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag3	Fixation	Whole	20	6059	6292	233	i	1	0.63744	0.51157	3.3028										
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2		Saccade	Whole	22	6292	6342	50						162.91	129.1	214.12	6.14	i	o	0.63744	0.51157	0.52965	0.47842
henry	Participant7	Timeline1	My Time of Interest 001	1	condition-2	Tag5	Fixation	Whole	21	6342	6708	366	o	1	0.52965	0.47842	3.28286										
