Timestamp,Data,Gaze.X,Gaze.Y,Fixation.X,Fixation.Y
65437790,X:0;Y:0; MouseEvent:WM_MOUSEWHEEL; ScrollDelta:0;,,,893.0,467.0
65439853,,904.0,457.0,893.0,467.0
65456374,,896.0,455.0,893.0,467.0
65473364,,901.0,470.0,893.0,467.0
65489714,,905.0,467.0,893.0,467.0
65506289,,900.0,460.0,893.0,467.0
65523279,,893.0,465.0,893.0,467.0
65539584,,895.0,467.0,893.0,467.0
65556205,,893.0,463.0,893.0,467.0
65573199,,886.0,461.0,893.0,467.0
65589550,,888.0,460.0,893.0,467.0
65606217,,887.0,463.0,893.0,467.0
65623119,,886.0,471.0,893.0,467.0
65639420,,886.0,478.0,893.0,467.0
65656037,,894.0,478.0,893.0,467.0
65673035,,882.0,478.0,893.0,467.0
65689289,,884.0,479.0,893.0,467.0
65705952,,891.0,475.0,893.0,467.0
65722955,,892.0,461.0,893.0,467.0
65739255,,884.0,424.0,,
65755964,,827.0,286.0,,
65772875,,689.0,221.0,,
65789124,,586.0,60.0,,
65805879,,541.0,13.0,,
65822805,,565.0,87.0,532.0,8.0
65839090,,532.0,7.0,532.0,8.0
65855795,,521.0,-5.0,532.0,8.0
65872725,,559.0,74.0,532.0,8.0
65888960,,531.0,9.0,532.0,8.0
65905711,,532.0,9.0,532.0,8.0
65922645,,552.0,74.0,532.0,8.0
65938926,,523.0,3.0,532.0,8.0
65955626,,500.0,4.0,,
65972570,,377.0,-42.0,,
65988796,,265.0,-58.0,,
66005541,,196.0,-32.0,,
66022494,,190.0,-71.0,227.0,-9.0
66038665,,192.0,-68.0,227.0,-9.0
66055457,,198.0,-59.0,227.0,-9.0
66072415,,198.0,-55.0,227.0,-9.0
66088632,,201.0,-56.0,227.0,-9.0
66105373,,199.0,-54.0,227.0,-9.0
66122335,,204.0,-38.0,227.0,-9.0
66138598,,207.0,-33.0,227.0,-9.0
66155289,,212.0,-30.0,227.0,-9.0
66172251,,222.0,-20.0,227.0,-9.0
