Recording	Participant	Timeline	TOI	Interval	Media	Group1	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Partial	1	0	657	657	h	1	0.4904	0.50223	3.5379										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	1	657	707	50						189.98	128.75	149.46	7.06	h	g	0.4904	0.50223	0.36973	0.52346
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	2	707	973	266	g	1	0.36973	0.52346	3.32019										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	2	973	989	16						151.43	39.4	39.4	0.7	g	g	0.36973	0.52346	0.35198	0.51379
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	3	989	1306	316	g	1	0.35198	0.51379	3.29009										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	3	1306	1322	17						189.42	36.63	36.63	0.54	g	g	0.35198	0.51379	0.33481	0.51664
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	4	1322	1605	283	g	1	0.33481	0.51664	3.28602										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	4	1605	1638	33						235.58	162.13	211.39	5.88	g	k	0.33481	0.51664	0.24261	0.65117
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	5	1638	1988	349	k	1	0.24261	0.65117	3.30625										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	5	1988	2021	34						94.71	68.16	91.47	2.75	k	f	0.24261	0.65117	0.23411	0.54796
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	6	2021	2554	533	f	1	0.23411	0.54796	3.31899										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	6	2554	2604	50						325.56	132.26	191	6.94	f		0.23411	0.54796	0.36262	0.63608
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	7	2604	2753	150		0	0.36262	0.63608	3.356										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	7	2753	2787	33						274.21	42.58	44.49	2.25		l	0.36262	0.63608	0.36906	0.72365
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	8	2787	4384	1597	l	1	0.36906	0.72365	3.41601										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	8	4384	4434	50						358.83	148.85	259.27	7.89	l	m	0.36906	0.72365	0.52201	0.72678
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	9	4434	4584	150	m	1	0.52201	0.72678	3.57339										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	9	4584	4617	33						11.54	153.02	185.52	4.65	m	n	0.52201	0.72678	0.6228	0.70619
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	10	4617	6348	1731	n	1	0.6228	0.70619	3.427										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	10	6348	6398	50						98.39	76.19	107.45	4.19	n	i	0.6228	0.70619	0.60067	0.55617
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	11	6398	6614	216	i	1	0.60067	0.55617	3.53098										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	11	6614	6664	50						63.93	62.19	103.34	3.21	i	i	0.60067	0.55617	0.64694	0.46158
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	12	6664	6880	216	i	1	0.64694	0.46158	3.4618										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	12	6880	6947	67						102.07	85.48	173.78	5.69	i	d	0.64694	0.46158	0.6016	0.24949
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	13	6947	7113	166	d	1	0.6016	0.24949	3.34031										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	13	7113	7130	16						87.02	38.34	38.34	1.25	d	d	0.6016	0.24949	0.6044	0.19573
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	14	7130	7246	117	d	1	0.6044	0.19573	3.27785										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	14	7246	7296	50						184.4	138.79	159.24	6.98	d	c	0.6044	0.19573	0.45547	0.20719
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	15	7296	7812	516	c	1	0.45547	0.20719	3.20077										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	15	7812	7828	16						354.24	41.63	41.63	1.15	c	c	0.45547	0.20719	0.47628	0.20929
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	16	7828	8378	549	c	1	0.47628	0.20929	3.26272										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	16	8378	8394	17						313.99	52.78	52.78	1.37	c	c	0.47628	0.20929	0.50021	0.23408
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	17	8394	8727	333	c	1	0.50021	0.23408	3.50861										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	17	8727	8760	33						154.04	43.23	50.92	1.44	c	c	0.50021	0.23408	0.47157	0.22014
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	18	8760	9775	1015	c	1	0.47157	0.22014	3.53924										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	18	9775	9809	33						303.8	72.51	110.89	2.68	c	c	0.47157	0.22014	0.51683	0.28775
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	19	9809	10757	948	c	1	0.51683	0.28775	3.57404										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	19	10757	10791	33						132.95	51.1	61.8	1.64	c	c	0.51683	0.28775	0.48526	0.25384
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	20	10791	11007	216	c	1	0.48526	0.25384	3.49234										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Partial	20	11007	11023	16							44.96	44.96		c		0.48526	0.25384		
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Partial	21	11256	11290	34							48.37	48.37			b			0.4095	0.30101
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	21	11290	11373	83	b	1	0.4095	0.30101	3.41997										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	22	11373	11423	50						14.02	167.65	302	8.43	b	d	0.4095	0.30101	0.58336	0.2576
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Whole	22	11423	11539	117	d	1	0.58336	0.2576	3.46405										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Whole	23	11539	11556	17						43.13	69.59	69.59	0.83	d	d	0.58336	0.2576	0.6118	0.23095
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Fixation	Partial	23	11556	12488	932	d	1	0.6118	0.23095	3.34273										
suvin	suvin	Timeline1	bl-viewing	1	condition-1		Saccade	Partial	24	12571	12604	33							97.34	97.34			d			0.60767	0.2146
